Unnamed: 0,Date,Team,Acquired,Relinquished,Notes
20416.0,2014-03-03,Heat, DeAndre Liggins,,activated from IL
20417.0,2014-03-03,Lakers,, Steve Nash,placed on IL with nerve root irritation
20418.0,2014-03-03,Lakers, Xavier Henry,,activated from IL
20419.0,2014-03-03,Timberwolves,, Ronny Turiaf,placed on IL with bone bruise in right knee
20420.0,2014-03-04,Clippers, Danny Granger,,activated from IL
20421.0,2014-03-04,Heat,, Greg Oden,placed on IL
20422.0,2014-03-04,Heat, Dwyane Wade,,activated from IL
20423.0,2014-03-04,Rockets, Troy Daniels,,activated from IL
20424.0,2014-03-04,Mavericks, Gal Mekel,,activated from IL
20425.0,2014-03-05,Jazz,, Andris Biedrins,placed on IL
20426.0,2014-03-05,Jazz, Malcolm Thomas (b. 1988-11-08),,activated from IL
20427.0,2014-03-05,Magic,, Jameer Nelson,placed on IL with illness
20428.0,2014-03-05,Magic, Arron Afflalo,,activated from IL
20429.0,2014-03-05,Rockets,, Greg Smith (b. 1991-01-08),placed on IL recovering from surgery on right knee
20430.0,2014-03-05,Rockets, Isaiah Canaan,,activated from IL
20431.0,2014-03-05,Wizards,, Kevin Seraphin,placed on IL with sore right knee
20432.0,2014-03-06,Heat,, DeAndre Liggins,placed on IL
20433.0,2014-03-06,Heat, Greg Oden,,activated from IL
20434.0,2014-03-06,Spurs,, Jeff Ayres / Jeff Pendergraph,placed on IL with finger injury
20435.0,2014-03-06,Spurs, Austin Daye,,activated from IL
20436.0,2014-03-06,Suns,, Leandro Barbosa,placed on IL with sprained left big toe / fractured left hand (out for season)
20437.0,2014-03-07,Blazers,, Allen Crabbe,placed on IL
20438.0,2014-03-07,Blazers, Thomas Robinson,,activated from IL
20439.0,2014-03-07,Hawks,, Gustavo Ayon,placed on IL recovering from surgery on right shoulder (out for season)
20440.0,2014-03-07,Hawks, Pero Antic,,activated from IL (P)
20441.0,2014-03-07,Pacers,, C.J. Watson,placed on IL with right elbow injury
20442.0,2014-03-07,Pacers, Solomon Hill,,activated from IL
20443.0,2014-03-07,Raptors,, Julyan Stone,placed on IL
20444.0,2014-03-07,Raptors, Terrence Ross,,activated from IL
20445.0,2014-03-07,Warriors,, Nemanja Nedovic,placed on IL
20446.0,2014-03-08,Cavaliers,, Sergey Karasev,placed on IL
20447.0,2014-03-08,Cavaliers, Anderson Varejao,,activated from IL
20448.0,2014-03-08,Jazz,, Malcolm Thomas (b. 1988-11-08),placed on IL
20449.0,2014-03-08,Jazz, Ian Clark,,activated from IL
20450.0,2014-03-08,Magic,, Victor Oladipo,placed on IL with sore left ankle
20451.0,2014-03-08,Magic, Jameer Nelson,,activated from IL
20452.0,2014-03-08,Spurs,, Austin Daye,placed on IL
20453.0,2014-03-08,Spurs, Jeff Ayres / Jeff Pendergraph,,activated from IL
20454.0,2014-03-09,Celtics,, Gerald Wallace,"placed on IL recovering from arthroscopic surgery on left knee to repair torn meniscus, and ankle (out for season)"
20455.0,2014-03-09,Raptors,, Patrick Patterson,placed on IL with sprained right elbow
20456.0,2014-03-09,Timberwolves,, A.J. Price,placed on IL with appendectomy
20457.0,2014-03-09,Timberwolves, Robbie Hummel,,activated from IL
